state,elderly_pct,total_k
Johor,4.88,1623.9
Kedah,6.14,1012.9
Kelantan,6.13,841.5
Kuala Lumpur,3.6,976.9
Labuan,3.43,37.9
Malacca,6.51,399.6
Negeri Sembilan,5.7,535.5
Pahang,3.81,765.5
Penang,6.03,895.2
Perak,6.61,1481.9
Perlis,6.6,141.0
Sabah,2.79,1286.2
Sarawak,5.21,1285.9
Selangor,3.7,1836.6
Terengganu,5.15,559.7
