state,elderly_pct,total_k
Johor,6.14,2642.0
Kedah,7.42,1528.1
Kelantan,6.86,1191.3
Kuala Lumpur,5.07,1370.9
Labuan,2.54,67.0
Malacca,7.15,646.2
Negeri Sembilan,6.75,814.8
Pahang,5.82,1168.2
Penang,7.21,1289.9
Perak,8.9,1902.2
Perlis,8.55,189.4
Sabah,3.48,2511.7
Sarawak,6.51,1925.7
Selangor,4.1,4343.3
Terengganu,5.91,793.6
