year,Ethnicity,stack_order,pop_millions
2022,Other Bumiputera,2,3.68
2022,Chinese,3,6.874
2022,Indian,4,2.0
2022,Other citizen,5,0.223
2022,Non-citizen,6,2.5
2023,Malay,1,17.615
2023,Other Bumiputera,2,3.726
2023,Chinese,3,6.866
2023,Indian,4,2.003
2023,Other citizen,5,0.227
2023,Non-citizen,6,2.965
2024,Malay,1,17.813
2024,Other Bumiputera,2,3.749
2024,Chinese,3,6.857
2024,Indian,4,2.005
2024,Other citizen,5,0.231
2024,Non-citizen,6,3.397
2025,Malay,1,17.981
2025,Other Bumiputera,2,3.78
2025,Chinese,3,6.85
2025,Indian,4,2.006
2025,Other citizen,5,0.234
2025,Non-citizen,6,3.381
